Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110167031,RAPPIDX SURFACE,Ignis Traders,RPDX0026256,08/10/2021,08/10/2021,08/10/2021,COD,RTO,Bondamunda_Bisra_DPP (Orissa),Delivered,2,2,D2,799,799,Rourkela,Orissa,770040,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,13/10/2021,14/10/2021,12/10/2021,21/10/2021,10/11/2021,08/10/2021,10/11/2021
8445110173106,RAPPIDX SURFACE,Ignis Traders,RPDX0027506,12/10/2021,12/10/2021,12/10/2021,COD,RTO,Namchi_ChungRd_D (Sikkim),Delivered,3,3,E,799,799,Namchi,Sikkim,737126,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,19/10/2021,19/10/2021,18/10/2021,23/10/2021,10/11/2021,12/10/2021,10/11/2021
8445110175991,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0027795,12/10/2021,19/10/2021,19/10/2021,COD,RTO,Lucknow_TrnsprtNgr_D (Uttar Pradesh),Delivered,2,2,D1,1399,1399,Lucknow,Uttar Pradesh,226401,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,22/10/2021,22/10/2021,22/10/2021,23/10/2021,09/11/2021,12/10/2021,09/11/2021
8445110184612,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028802,14/10/2021,18/10/2021,18/10/2021,COD,RTO,Zahirabad_Mohim_D (Telangana),Delivered,2,2,D2,1399,1399,Zahirabad,Telangana,502321,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,09/11/2021,22/10/2021,22/10/2021,21/10/2021,21/10/2021,09/11/2021,14/10/2021,09/11/2021
8445110184483,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028789,14/10/2021,18/10/2021,18/10/2021,COD,RTO,Junagarh_Koilgaon_D (Orissa),Delivered,1,1,D1,1399,1399,Junagarh-OR,Orissa,766015,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,25/10/2021,25/10/2021,23/10/2021,23/10/2021,09/11/2021,14/10/2021,09/11/2021
8445110182210,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028485,13/10/2021,16/10/2021,16/10/2021,COD,RTO,Cuttack_CDASector8_D (Orissa),Delivered,3,3,D2,1399,1399,Cuttack,Orissa,753009,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,09/11/2021,21/10/2021,21/10/2021,20/10/2021,25/10/2021,09/11/2021,13/10/2021,09/11/2021
8445110184446,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028785,14/10/2021,18/10/2021,18/10/2021,COD,RTO,Sivakasi_Msstreet_DC (Tamil Nadu),Delivered,1,1,D2,1399,1399,Sivakasi,Tamil Nadu,626123,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,23/10/2021,23/10/2021,23/10/2021,23/10/2021,09/11/2021,14/10/2021,09/11/2021
8445110179550,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028210,13/10/2021,15/10/2021,15/10/2021,COD,RTO,Tiruvanamalai_Vjylkxmi_D (Tamil Nadu),Delivered,3,3,D2,1399,1399,Tiruvannamalai,Tamil Nadu,606604,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,20/10/2021,20/10/2021,20/10/2021,20/10/2021,09/11/2021,13/10/2021,09/11/2021
8445110184951,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028836,14/10/2021,16/10/2021,16/10/2021,COD,RTO,Kallikkad_Mutyvila_D (Kerala),Delivered,4,3,D2,1399,1399,Kallikkad,Kerala,695572,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,22/10/2021,22/10/2021,21/10/2021,21/10/2021,09/11/2021,14/10/2021,09/11/2021
8445110190153,RAPPIDX SURFACE,Shipxpress,RPDX0030296,21/10/2021,21/10/2021,21/10/2021,COD,RTO,Morbi_DC (Gujarat),Delivered,2,2,D1,1399,1399,Morbi,Gujarat,363642,Meerut_Rihani_D (Uttar Pradesh),RD-AC,Meerut_Rihani_D (Uttar Pradesh),RETURN Accepted,TRUE,10/11/2021,28/10/2021,28/10/2021,27/10/2021,30/10/2021,10/11/2021,21/10/2021,10/11/2021
8445110195182,RAPPIDX SURFACE,Renu Enterprises,RPDX0030975,28/10/2021,28/10/2021,28/10/2021,COD,RTO,Jammu_ShivNagar_D (Jammu & Kashmir),Delivered,1,1,E,899,899,Jammu,Jammu & Kashmir,180001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,09/11/2021,02/11/2021,02/11/2021,30/10/2021,30/10/2021,09/11/2021,28/10/2021,09/11/2021
8445110194456,RAPPIDX SURFACE,Renu Enterprises,RPDX0030902,28/10/2021,28/10/2021,28/10/2021,COD,RTO,Mahabaleshwar_BhilarTal_DPP (Maharashtra),Delivered,1,1,D2,899,899,Mahabaleshwar,Maharashtra,412806,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,10/11/2021,02/11/2021,02/11/2021,01/11/2021,01/11/2021,10/11/2021,28/10/2021,10/11/2021
8445110165863,RAPPIDX SURFACE,Ignis Traders,RPDX0025978,06/10/2021,06/10/2021,06/10/2021,COD,RTO,Naharlagun_Motors_D (Arunachal Pradesh),Delivered,2,2,E,799,799,Naharlagun,Arunachal Pradesh,791110,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,13/10/2021,14/10/2021,11/10/2021,11/10/2021,10/11/2021,06/10/2021,10/11/2021
8445110166946,RAPPIDX SURFACE,Ignis Traders,RPDX0026247,08/10/2021,08/10/2021,08/10/2021,COD,RTO,Siliguri_ShyamNgr_D (West Bengal),Delivered,0,,D1,799,799,Siliguri,West Bengal,734003,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,13/10/2021,13/10/2021,20/10/2021,,10/11/2021,08/10/2021,10/11/2021
8445110166972,RAPPIDX SURFACE,Ignis Traders,RPDX0026250,08/10/2021,08/10/2021,08/10/2021,COD,RTO,Parippally_Chvarcode_D (Kerala),Delivered,2,3,D2,799,799,Parippally,Kerala,691537,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,14/10/2021,15/10/2021,18/10/2021,18/10/2021,10/11/2021,08/10/2021,10/11/2021
8445110178684,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028116,13/10/2021,16/10/2021,16/10/2021,COD,RTO,Tirurangadi_pakkdpuryaRd_D (Kerala),Delivered,1,1,D2,1399,1399,Tirurangadi,Kerala,676503,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,09/11/2021,23/10/2021,23/10/2021,23/10/2021,28/10/2021,09/11/2021,13/10/2021,09/11/2021
