Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110019180,RAPPIDX SURFACE,Renu Enterprises,RPDX005233,08/09/2021,09/09/2021,09/09/2021,COD,RTO,Ganapavaram_PeddaVerdiSt_DPP (Andhra Pradesh),Delivered,3,3,D2,1698,1698,Ganapavaram,Andhra Pradesh,534198,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,15/09/2021,15/09/2021,13/09/2021,15/09/2021,01/10/2021,08/09/2021,01/10/2021
8445110091162,RAPPIDX SURFACE,Ignis Traders,RPDX0012376,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Mumbai_BandraEast_D (Maharashtra),Delivered,6,5,C2,649,649,Mumbai,Maharashtra,400051,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,TRUE,01/10/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110128855,RAPPIDX SURFACE,Ignis Traders 2,RPDX0018572,25/09/2021,27/09/2021,27/09/2021,COD,RTO,Kanpur_Central_D_8 (Uttar Pradesh),Delivered,1,1,B,1399,1399,Kanpur,Uttar Pradesh,208010,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,29/09/2021,30/09/2021,29/09/2021,29/09/2021,05/10/2021,25/09/2021,05/10/2021
8445110082946,RAPPIDX SURFACE,Ignis Traders,RPDX0011554,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Agartala_Dhaleswr_D (Tripura),Delivered,1,1,E,649,649,Agartala,Tripura,799022,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110089714,RAPPIDX SURFACE,Ignis Traders,RPDX0012231,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Surat_NanaVrachha_D (Gujarat),Delivered,1,1,D1,649,649,Surat,Gujarat,396350,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,21/09/2021,18/09/2021,26/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110100332,RAPPIDX SURFACE,Renu Enterprises,RPDX0013771,17/09/2021,17/09/2021,17/09/2021,COD,RTO,Chamarjngr_BrDbleRd_D (Karnataka),Delivered,2,2,D2,1698,1698,Chamarajanagar,Karnataka,571316,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,25/09/2021,25/09/2021,23/09/2021,23/09/2021,01/10/2021,17/09/2021,01/10/2021
8445110059393,RAPPIDX SURFACE,Ignis Traders,RPDX009001,12/09/2021,14/09/2021,14/09/2021,COD,RTO,Hunsur_ShabirNagar_D (Karnataka),Delivered,3,3,D2,649,649,Hunsur,Karnataka,571105,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,21/09/2021,22/09/2021,20/09/2021,20/09/2021,01/10/2021,12/09/2021,01/10/2021
8445110105571,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014320,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Bangalore_Thanisandra_D (Karnataka),Delivered,2,2,C2,1399,1399,Bangalore,Karnataka,560045,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,23/09/2021,24/09/2021,25/09/2021,25/09/2021,05/10/2021,18/09/2021,05/10/2021
8445110118775,RAPPIDX SURFACE,Vishal Traders,RPDX0016271,23/09/2021,23/09/2021,23/09/2021,COD,RTO,Sakri_DhuleRoad_D (Maharashtra),Delivered,1,1,D1,1399,1399,Sakri,Maharashtra,424303,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,27/09/2021,28/09/2021,27/09/2021,27/09/2021,05/10/2021,23/09/2021,05/10/2021
8445110133372,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019638,27/09/2021,27/09/2021,27/09/2021,COD,RTO,Udaipur_Bhuwana_D (Rajasthan),Delivered,1,1,D1,1399,1399,Udaipur,Rajasthan,313001,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,30/09/2021,01/10/2021,29/09/2021,29/09/2021,05/10/2021,27/09/2021,05/10/2021
